ITEMID,MONTH,INVENTLOCATIONID,MEAN_BY_MONTH
66100,1,1,2.2222222222222223
66100,1,11,1.5
66100,1,13,1.0
66100,1,20,1.0
66100,1,29,2.0
66100,1,50,2.235294117647059
66100,1,100,1.5714285714285714
66100,1,151,1.5
66100,1,205,3.3
66100,2,1,1.8181818181818181
66100,2,11,1.0
66100,2,20,1.75
66100,2,29,4.0
66100,2,50,2.6666666666666665
66100,2,100,2.8333333333333335
66100,2,151,1.4
66100,2,152,3.0
66100,2,205,2.0
66100,3,1,2.0
66100,3,11,1.0
66100,3,13,1.0
66100,3,20,1.5
66100,3,29,4.0
66100,3,50,1.9166666666666667
66100,3,100,3.111111111111111
66100,3,151,1.6
66100,3,152,1.0
66100,3,205,15.5
66100,4,1,2.4
66100,4,13,1.0
66100,4,20,2.5
66100,4,50,1.9444444444444444
66100,4,100,2.4285714285714284
66100,4,151,1.8076923076923077
66100,4,152,1.0
66100,4,205,2.0
66100,5,1,1.75
66100,5,20,2.0
66100,5,50,1.75
66100,5,100,1.5
66100,5,151,1.625
66100,5,152,1.0
66100,6,1,1.8
66100,6,13,3.0
66100,6,20,1.6666666666666667
66100,6,50,1.8181818181818181
66100,6,100,1.0
66100,6,151,1.3076923076923077
66100,6,152,1.0
66100,6,205,1.6666666666666667
66100,7,1,1.8
66100,7,20,2.0
66100,7,50,1.1666666666666667
66100,7,100,1.5
66100,7,151,1.1666666666666667
66100,7,152,2.0
66100,7,205,2.0
66100,8,1,2.0
66100,8,20,1.0
66100,8,29,4.5
66100,8,50,1.5555555555555556
66100,8,100,5.333333333333333
66100,8,151,2.375
66100,8,205,11.75
66100,9,1,2.272727272727273
66100,9,13,1.5
66100,9,20,1.3333333333333333
66100,9,50,2.25
66100,9,100,5.5
66100,9,151,2.0
66100,9,205,1.4
66100,10,1,1.6666666666666667
66100,10,13,1.0
66100,10,20,1.0
66100,10,29,3.0
66100,10,50,1.7857142857142858
66100,10,100,7.5
66100,10,151,1.625
66100,10,205,16.5
66100,11,1,3.4
66100,11,11,1.0
66100,11,29,2.0
66100,11,50,2.4285714285714284
66100,11,100,8.666666666666666
66100,11,151,1.7058823529411764
66100,11,152,1.0
66100,11,205,8.222222222222221
66100,12,1,1.7142857142857142
66100,12,11,2.0
66100,12,20,3.0
66100,12,50,1.4285714285714286
66100,12,100,2.2
66100,12,151,2.142857142857143
66100,12,152,1.0
66100,12,205,1.1428571428571428
1106331,1,1,1.2
1106331,1,11,2.0
1106331,1,13,1.3333333333333333
1106331,1,20,1.0
1106331,1,29,1.5
1106331,1,50,1.0833333333333333
1106331,1,100,1.125
1106331,1,151,1.0
1106331,1,152,1.0
1106331,1,205,1.3333333333333333
1106331,2,1,1.2
1106331,2,11,2.5
1106331,2,13,1.0
1106331,2,20,1.0
1106331,2,50,1.0666666666666667
1106331,2,100,1.4
1106331,2,151,1.0
1106331,2,152,1.0
1106331,2,205,1.3333333333333333
1106331,3,1,1.1538461538461537
1106331,3,11,3.0
1106331,3,13,1.5
1106331,3,20,1.0
1106331,3,29,1.0
1106331,3,50,1.0
1106331,3,100,1.0
1106331,3,152,1.0
1106331,4,1,1.3333333333333333
1106331,4,11,3.5
1106331,4,13,1.0
1106331,4,20,1.0
