ITEMID,WEEK_OF_MONTH,INVENTLOCATIONID,MEAN_BY_WEEK
66100,1,1,1.9230769230769231
66100,1,13,1.5
66100,1,20,1.2
66100,1,50,2.1333333333333333
66100,1,100,4.8
66100,1,151,1.5357142857142858
66100,1,152,1.2
66100,1,205,1.75
66100,2,1,1.9411764705882353
66100,2,11,1.0
66100,2,20,2.0
66100,2,29,2.25
66100,2,50,1.8857142857142857
66100,2,100,2.6842105263157894
66100,2,151,1.826086956521739
66100,2,152,1.5
66100,2,205,11.454545454545455
66100,3,1,2.2222222222222223
66100,3,11,1.3333333333333333
66100,3,13,1.5
66100,3,20,1.5555555555555556
66100,3,29,4.25
66100,3,50,1.7333333333333334
66100,3,100,3.1176470588235294
66100,3,151,1.7857142857142858
66100,3,152,1.75
66100,3,205,6.7272727272727275
66100,4,1,2.130434782608696
66100,4,11,1.0
66100,4,13,1.0
66100,4,20,1.6666666666666667
66100,4,29,3.0
66100,4,50,2.0
66100,4,100,1.736842105263158
66100,4,151,1.6296296296296295
66100,4,152,1.0
66100,4,205,2.0
66100,5,1,2.1666666666666665
66100,5,11,2.0
66100,5,20,1.0
66100,5,50,1.9333333333333333
66100,5,100,8.5
66100,5,151,1.5833333333333333
66100,5,205,2.0
1106331,1,1,1.1428571428571428
1106331,1,11,2.6
1106331,1,13,1.0
1106331,1,20,1.0
1106331,1,29,1.5
1106331,1,50,1.0769230769230769
1106331,1,100,1.3
1106331,1,151,1.0
1106331,1,152,1.1428571428571428
1106331,1,205,1.0
1106331,2,1,1.2
1106331,2,11,1.6666666666666667
1106331,2,13,1.0
1106331,2,20,1.3076923076923077
1106331,2,29,1.0
1106331,2,50,1.1578947368421053
1106331,2,100,1.7
1106331,2,151,1.2
1106331,2,152,1.0
1106331,2,205,1.125
1106331,3,1,1.3333333333333333
1106331,3,11,2.272727272727273
1106331,3,13,1.25
1106331,3,20,1.0
1106331,3,29,1.75
1106331,3,50,1.125
1106331,3,100,1.1818181818181819
1106331,3,151,1.0
1106331,3,152,1.0
1106331,3,205,1.1666666666666667
1106331,4,1,1.1875
1106331,4,11,2.0
1106331,4,13,1.1666666666666667
1106331,4,20,1.0
1106331,4,29,1.0
1106331,4,50,1.1666666666666667
1106331,4,100,1.0
1106331,4,151,1.0
1106331,4,152,1.3333333333333333
1106331,4,205,1.0
1106331,5,1,1.0
1106331,5,11,1.0
1106331,5,13,1.0
1106331,5,20,1.0
1106331,5,29,1.0
1106331,5,50,1.0
1106331,5,100,1.0
1106331,5,151,1.0
1106331,5,152,1.0
1106331,5,205,1.0
1561200,1,1,1.25
1561200,1,11,1.3333333333333333
1561200,1,13,1.1666666666666667
1561200,1,20,1.1176470588235294
1561200,1,29,1.0
1561200,1,50,1.3529411764705883
1561200,1,100,1.0
1561200,1,151,1.2222222222222223
1561200,1,152,1.2
1561200,1,205,1.0
1561200,2,1,1.8181818181818181
1561200,2,11,2.5
1561200,2,13,1.0769230769230769
1561200,2,20,1.1428571428571428
1561200,2,29,2.2857142857142856
1561200,2,50,1.1
1561200,2,100,1.3636363636363635
1561200,2,151,1.25
1561200,2,152,1.0
1561200,2,205,1.0
1561200,3,1,1.5909090909090908
1561200,3,11,1.3333333333333333
1561200,3,13,1.6
1561200,3,20,1.3125
1561200,3,29,1.8
1561200,3,50,1.0
1561200,3,100,1.1428571428571428
1561200,3,151,1.0
1561200,3,152,1.0
1561200,3,205,1.8
1561200,4,1,1.3333333333333333
1561200,4,11,1.0909090909090908
1561200,4,13,1.0
1561200,4,20,1.1333333333333333
1561200,4,29,2.6666666666666665
1561200,4,50,1.125
1561200,4,100,1.25
1561200,4,151,1.5
1561200,4,152,1.3333333333333333
1561200,4,205,1.0
1561200,5,1,1.2
1561200,5,11,1.0
1561200,5,13,1.0
1561200,5,20,1.0
1561200,5,29,1.6666666666666667
1561200,5,50,1.3333333333333333
1561200,5,100,1.0
1561200,5,151,2.0
1561200,5,205,1.0
2934053,1,1,1.3
2934053,1,11,1.25
2934053,1,13,1.0
2934053,1,20,1.2
2934053,1,29,1.0
2934053,1,50,1.0625
2934053,1,100,1.0
2934053,1,151,1.0
2934053,1,152,1.0
2934053,1,205,1.0
2934053,2,1,1.4
2934053,2,11,1.0
2934053,2,13,1.0
2934053,2,20,1.0952380952380953
2934053,2,29,2.2
2934053,2,50,1.0909090909090908
2934053,2,100,1.2
2934053,2,151,1.0
2934053,2,152,1.0
2934053,2,205,1.1111111111111112
2934053,3,1,1.0555555555555556
2934053,3,11,1.2857142857142858
2934053,3,13,1.6666666666666667
2934053,3,20,1.2352941176470589
2934053,3,29,1.0
2934053,3,50,1.0666666666666667
2934053,3,100,1.0
2934053,3,151,1.0
2934053,3,152,1.0
2934053,3,205,1.0
2934053,4,1,1.2857142857142858
2934053,4,11,1.2857142857142858
2934053,4,13,1.0
2934053,4,20,1.0909090909090908
2934053,4,29,1.5
2934053,4,50,1.2222222222222223
2934053,4,100,1.0
2934053,4,151,1.0
2934053,4,152,1.0
2934053,4,205,1.0
2934053,5,1,1.0
2934053,5,11,1.0
2934053,5,13,1.0
2934053,5,20,1.0
2934053,5,29,1.0
2934053,5,50,1.0
2934053,5,100,1.0
2934053,5,151,1.0
2934053,5,205,1.0
3223155,1,1,1.2857142857142858
3223155,1,11,2.5
3223155,1,13,1.0
3223155,1,20,1.0
3223155,1,29,2.4444444444444446
3223155,1,50,1.2083333333333333
3223155,1,100,1.4285714285714286
3223155,1,151,1.0
3223155,1,152,1.0555555555555556
3223155,1,205,1.0
3223155,2,1,1.5833333333333333
3223155,2,11,2.1666666666666665
3223155,2,13,1.6666666666666667
3223155,2,20,1.0
